127.0.0.1 - - [28/Jan/2019:15:05:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:45 +0530] "GET /LS_SQL_TEST HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:47 +0530] "GET /LS_SQL_TEST/ HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:48 +0530] "GET /LS_SQL_TEST/welcome.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:48 +0530] "GET /LS_SQL_TEST/login.htm HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:48 +0530] "GET /LS_SQL_TEST/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:48 +0530] "GET /LS_SQL_TEST/js/common.js?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:48 +0530] "GET /LS_SQL_TEST/js/login.js?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:49 +0530] "GET /LS_SQL_TEST/js/uic/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:49 +0530] "GET /LS_SQL_TEST/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:49 +0530] "GET /LS_SQL_TEST/css/commonCSS/custom-styleproduct.css?value=LSV4_b5_07300512 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:49 +0530] "GET /LS_SQL_TEST/css/appCSS/product/login-style_product.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:49 +0530] "GET /LS_SQL_TEST/images/login-bg-new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:06:49 +0530] "GET /LS_SQL_TEST/LS-Images/Genpact-Livespread-Logo.png HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:00 +0530] "POST /LS_SQL_TEST/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/welcome.htm HTTP/1.1" 200 5426
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/manifest.appcache HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/js/uic/jquery.sumoselect.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/js/uic/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/sumoselect.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/template.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/tab.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/ui-component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/bootstrap-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/bootstrap-colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/jquery.datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/jquery-confirm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2019:15:07:04 +0530] "GET /LS_SQL_TEST/css/uic/uic-table.css HTTP/1.1" 304 -
